instance,seed,timeMs,objective,totalReward,totalDistance,nodeCount,tour
TSPA,21160515,2000,8380,30824,22444,149,"147->54->30->48->160->192->42->5->96->41->193->159->195->103->146->22->20->18->69->108->67->163->36->140->93->68->110->191->139->198->46->60->118->59->72->109->51->141->66->176->137->23->186->114->64->15->61->62->9->33->37->148->12->130->94->124->111->167->128->49->102->144->155->14->138->32->3->178->106->185->40->119->8->165->39->95->7->164->58->71->27->107->90->174->187->81->169->196->17->157->188->56->13->31->168->91->179->145->78->25->44->120->82->2->87->125->74->152->97->1->150->101->26->100->19->189->99->121->182->136->53->158->180->173->6->194->161->24->149->131->47->65->116->105->77->166->28->184->11->35->126->29->156->112->4->190->10->177->104"
TSPB,22160518,2000,20073,43379,23306,155,"182->139->2->85->98->51->120->67->71->191->90->125->131->19->112->121->116->158->25->123->177->171->157->104->56->8->68->111->41->14->50->77->58->82->87->91->79->61->7->5->45->142->78->175->162->46->80->190->105->136->73->164->193->31->54->151->117->198->30->42->156->24->1->197->16->27->38->102->63->100->17->44->133->10->178->115->147->192->150->6->188->65->169->132->126->13->161->70->3->15->145->189->167->155->184->53->4->149->101->28->59->20->23->60->148->47->154->94->66->57->172->52->179->22->185->95->9->199->140->183->174->55->18->62->124->128->110->86->166->194->88->176->180->26->103->89->127->165->163->186->153->119->159->143->35->109->0->12->29->39->160->33->49->11->138"
